workorder,open,close,tail,airframe,ata,label,label_id,cleaned_problem,original_problem,date,ata2,original_action
1112653,3/7/12,3/7/12,N573ND,C172,7200,engine need repair/reinstall/clean,c_23,"HOLDING SHORT OF RUNWAY, AFTER COMPLETION OF RUN UP, ENGINE","HOLDING SHORT OF RUNWAY, AFTER COMPLETION OF RUN UP, ENGINE",3/7/12,7200,"PERFORMED ENGINE RUN UP, ADJUSTED IDLE & CLEANED SPARK"
1112677,3/7/12,3/7/12,N537ND,C172,7230,baffle crack/damage/loose/miss,c_4,L/H REAR ENGINE BAFFLE CRACKED.,L/H REAR ENGINE BAFFLE CRACKED.,3/7/12,7230,STOP DRILLED CRACK.
1112677,3/7/12,3/7/12,N537ND,C172,7230,induction damage/hardware fail,c_27,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS).,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS).,3/7/12,7230,TIGHTENED HOSE CLAMPS.
1112677,3/7/12,3/7/12,N537ND,C172,7230,rocker cover leak/loose/damage,c_37,"#1, 2 & 3 ROCKER BOX COVER GASKETS LEAKING.","#1, 2 & 3 ROCKER BOX COVER GASKETS LEAKING.",3/7/12,7230,INSTALLED NEW ROCKER BOX COVER GASKETS.
1112684,3/7/12,3/7/12,N516ND,C172,7230,rocker cover leak/loose/damage,c_37,#2 ROCKER COVER GASKET LEAKING.,#2 ROCKER COVER GASKET LEAKING.,3/7/12,7230,REMOVED & REPLACED #2 ROCKER COVER GASKET.
1112684,3/7/12,3/7/12,N516ND,C172,7230,rocker cover leak/loose/damage,c_37,#1 & 3 ROCKER COVER GASKET LEAKING.,#1 & 3 ROCKER COVER GASKET LEAKING.,3/7/12,7230,REMOVED & REPLACED #1 & 3 ROCKER COVER GASKET.
1112702,4/7/12,5/7/12,N545ND,C172,7230,rocker cover leak/loose/damage,c_37,ROCKER BOX COVER SCREWS LOOSE.,ROCKER BOX COVER SCREWS LOOSE.,4/7/12,7230,TIGHTENED SCREWS.
1112702,4/7/12,5/7/12,N545ND,C172,7230,baffle crack/damage/loose/miss,c_4,#1 ENGINE BAFFLE CRACKED.,#1 ENGINE BAFFLE CRACKED.,5/7/12,7230,FABRICATED PATCH OF LIKE MATERIAL & RIVETED IAW CESSNA
1112703,4/7/12,4/7/12,N540ND,C172,7230,intake gasket leak/damage,c_28,#1 INTAKE GASKET LEAKING.,#1 INTAKE GASKET LEAKING.,4/7/12,7230,REPLACED W/ NEW GASKET.
1112705,4/7/12,4/7/12,N513ND,C172,7230,rocker cover leak/loose/damage,c_37,ROCKER COVER FOR CYL #1 IS LEAKING.,ROCKER COVER FOR CYL #1 IS LEAKING.,4/7/12,7230,REPLACED ROCKER COVER.
1112706,4/7/12,4/7/12,N570ND,C172,7230,intake gasket leak/damage,c_28,CYL #4 INTAKE LEAKING.,CYL #4 INTAKE LEAKING.,4/7/12,7230,REPLACED GASKET. LEAK CHECK GOOD.
1112731,5/7/12,5/7/12,N573ND,C172,7230,rocker cover leak/loose/damage,c_37,#2 & 4 CYLINDER ROCKER COVER GASKETS LEAKING.,#2 & 4 CYLINDER ROCKER COVER GASKETS LEAKING.,5/7/12,7230,REMOVED & REPLACED ROCKER COVER GASKETS. CLEANED LEAKS
1112738,5/7/12,5/7/12,N561ND,C172,7230,rocker cover leak/loose/damage,c_37,ROCKER BOX COVER SCREWS ARE LOOSE.,ROCKER BOX COVER SCREWS ARE LOOSE.,5/7/12,7230,TIGHTENED SCREWS.
1112738,5/7/12,5/7/12,N561ND,C172,7230,induction damage/hardware fail,c_27,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYL).,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYL).,5/7/12,7230,TIGHTENED HOSE CLAMPS.
1112757,6/7/12,6/7/12,N528ND,C172,7230,intake gasket leak/damage,c_28,#1 INTAKE GASKET LEAKING.,#1 INTAKE GASKET LEAKING.,6/7/12,7230,"REMOVED INTAKE TUBE, FOUND TUBE TO BE CRACKED. REMOVED"
1112765,6/7/12,6/7/12,N538ND,C172,7230,induction damage/hardware fail,c_27,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS).,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS).,6/7/12,7230,TIGHTENED HOSE CLAMPS.
1112769,6/7/12,6/7/12,N204ND,ARRO,7230,oil dipstick/tube need repair,c_33,R/H MAG BLAST TUBE FELL OFF.,R/H MAG BLAST TUBE FELL OFF.,6/7/12,7230,REMOVED R/H AFT BAFFLE TO FACILITATE REPAIR. FABRICATED
1112775,7/7/12,11/7/12,N507ND,C172,7200,engine run rough,c_24,"ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP","ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP",10/7/12,7200,"INSPECTED CYL 1, 2 & 4 IAW SB 388C - CK'ED OK. REMOVED"
1112775,7/7/12,11/7/12,N507ND,C172,7200,engine run rough,c_24,"ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP","ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP",7/7/12,7200,"PERFORMED COMPRESSION CHECK, CYL #3 INDICATED ZERO PSI."
1112775,7/7/12,11/7/12,N507ND,C172,7200,engine run rough,c_24,"ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP","ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP",11/7/12,7200,"COMPLETED BAFFLE INSTALL, OIL FILLER TUBE, SPARK PLUGS."
1112801,9/7/12,10/7/12,N568ND,C172,7230,rocker cover leak/loose/damage,c_37,#4 ROCKER COVER GASKET LEAKING.,#4 ROCKER COVER GASKET LEAKING.,9/7/12,7230,REPLACED GASKET.
1112802,9/7/12,9/7/12,N593ND,SEMI,7230,baffle crack/damage/loose/miss,c_4,RIGHT ENG #4 AIR BAFFLE IS CRACKED,RIGHT ENG #4 AIR BAFFLE IS CRACKED,9/7/12,7230,REMOVED & REPLACED #4 AIR BAFFLE.
1112802,9/7/12,9/7/12,N593ND,SEMI,7200,engine failure/fire/time out,c_21,R/H ENG FWD ALT ATTACH BOLT LOOSE.,R/H ENG FWD ALT ATTACH BOLT LOOSE.,10/7/12,7200,SECURED ALT ATTACH BOLT & RESAFETIED.
1112802,9/7/12,9/7/12,N593ND,SEMI,7230,baffle crack/damage/loose/miss,c_4,L/H ENGINE #4 AFT BAFFLE CRACKED IN MULTIPLE PLACES.,L/H ENGINE #4 AFT BAFFLE CRACKED IN MULTIPLE PLACES.,9/7/12,7230,REPLACED BAFFLE ASSY.
1112802,9/7/12,9/7/12,N593ND,SEMI,7230,oil leak/pressure issue,c_34,"RIGHT ENG, ALL VALVE COVERS ARE LEAKING.","RIGHT ENG, ALL VALVE COVERS ARE LEAKING.",9/7/12,7230,REMOVED & REPLACED ALL ROCKER GASKETS.
1112802,9/7/12,9/7/12,N593ND,SEMI,7230,rocker cover leak/loose/damage,c_37,L/H ENGINE ALL 4 ROCKER COVER GASKETS LEAKING.,L/H ENGINE ALL 4 ROCKER COVER GASKETS LEAKING.,9/7/12,7230,REPLACED ALL ROCKER COVER GASKETS.
1112802,9/7/12,9/7/12,N593ND,SEMI,7230,intake gasket leak/damage,c_28,L/H ENG #2 INTAKE LEAKING.,L/H ENG #2 INTAKE LEAKING.,9/7/12,7230,"REMOVED TUBE, FOUND TO BE CRACKED. REMOVED TUBE FROM CO"
1112833,9/7/12,10/7/12,N559ND,C172,7100,engine run rough,c_24,"IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAG INOP. E","IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAG INOP. E",10/7/12,7230,"RAN A/C, MAGS CHECK GOOD. POWER & LEAK CHECK GOOD."
1112833,9/7/12,10/7/12,N559ND,C172,7100,engine run rough,c_24,"IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAG INOP. E","IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAG INOP. E",9/7/12,7230,"REMOVED #3 CYL, DISCONNECTED FUEL DISTRIBUTOR LINE TO G"
1112833,9/7/12,10/7/12,N559ND,C172,7100,engine run rough,c_24,"IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAG INOP. E","IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAG INOP. E",10/7/12,7230,"REASSEMBLED ENGINE, #3 CYL DRY TAPPET CLEARANCE CHECK G"
1112854,9/7/12,9/7/12,N560ND,C172,7230,intake gasket leak/damage,c_28,#4 INTAKE LEAKING.,#4 INTAKE LEAKING.,9/7/12,7230,REMOVED & REPLACED #4 INTAKE GASKET.
1112854,9/7/12,9/7/12,N560ND,C172,7230,rocker cover leak/loose/damage,c_37,#3 ROCKER COVER GASKET LEAKING.,#3 ROCKER COVER GASKET LEAKING.,9/7/12,7230,REMOVED & REPLACED #3 ROCKER COVER GASKET.
1112856,9/7/12,9/7/12,N532ND,C172,7230,baffle crack/damage/loose/miss,c_4,TOP L/H BAFFLE HAS A CRACK.,TOP L/H BAFFLE HAS A CRACK.,9/7/12,7230,STOP DRILLED CRACK.
1112856,9/7/12,9/7/12,N532ND,C172,7250,oil dipstick/tube need repair,c_33,OIL DIPSTICK OIL STICK IS LOOSE.,OIL DIPSTICK OIL STICK IS LOOSE.,9/7/12,7250,REMOVED & REPLACED DIPSTICK.
1112866,9/7/12,9/7/12,N572ND,C172,7230,aircraft start/external issue,c_1,#3 BRAKE MISSING SCREW.,#3 BRAKE MISSING SCREW.,9/7/12,7230,REPLACED SCREW.
1112903,10/7/12,12/7/12,N571ND,C172,7230,baffle seal loose/damage,c_9,BAFFLE SEALS ON R/H SIDE ARE TORN.,BAFFLE SEALS ON R/H SIDE ARE TORN.,10/7/12,7230,APPLIED SILICONE TO TORN AREAS.
1112903,10/7/12,12/7/12,N571ND,C172,7230,rocker cover leak/loose/damage,c_37,#2 & 4 ROCKER COVERS ARE LEAKING.,#2 & 4 ROCKER COVERS ARE LEAKING.,10/7/12,7230,REMOVED & REPLACED #2 & 4 ROCKER COVER GASKETS.
1112948,11/7/12,11/7/12,N521ND,C172,7230,baffle bracket loose/damage,c_3,#3 AFT BAFFLE BRACKET LOOSE.,#3 AFT BAFFLE BRACKET LOOSE.,11/7/12,7230,REMOVED & REPLACED MISSING RIVETS W/ SCREWS & NUTS.
1112956,11/7/12,11/7/12,N569ND,C172,7230,rocker cover leak/loose/damage,c_37,#4 CYL ROCKER COVER IS LEAKING.,#4 CYL ROCKER COVER IS LEAKING.,11/7/12,7230,REMOVED & REPLACED GASKET.
1112956,11/7/12,11/7/12,N569ND,C172,7230,cowling miss/loose/damage,c_12,"#1, 2, & 6 COWL MOUNTS ARE TORN.","#1, 2, & 6 COWL MOUNTS ARE TORN.",11/7/12,7230,REMOVED & REPLACED MOUNTS.
1112964,12/7/12,12/7/12,N549ND,C172,7230,intake gasket leak/damage,c_28,#4 INTAKE LEAKING.,#4 INTAKE LEAKING.,12/7/12,7230,REMOVED & REPLACED GASKET.
1112964,12/7/12,12/7/12,N549ND,C172,7230,rocker cover leak/loose/damage,c_37,#2 & 4 ROCKER COVERS LEAKING.,#2 & 4 ROCKER COVERS LEAKING.,12/7/12,7230,REMOVED & REPLACED GASKETS.
1112967,12/7/12,12/7/12,N515ND,C172,7200,intake gasket leak/damage,c_28,#4 INTAKE IS LEAKING.,#4 INTAKE IS LEAKING.,12/7/12,7200,REPLACED GASKET & INSPECTED INTAKE TUBE.
1113010,12/7/12,12/7/12,N569ND,C172,7200,engine idle/rpm issue,c_22,"DURING IDLE CHECK ON RUN UP, ENGINE QUIT. RESTART ENGINE & Q","DURING IDLE CHECK ON RUN UP, ENGINE QUIT. RESTART ENGINE & Q",12/7/12,7200,"ADJUSTED IDLE SETTING, IDLE INDICATING 650 RPM DURING R"
1113011,7/13/12,7/25/12,N520ND,C172,7230,baffle plug need repair/replace,c_6,L/H BAFFLE PLUG WORN.,L/H BAFFLE PLUG WORN.,7/13/12,7230,REMOVED & REPLACED PLUG.
1113011,7/13/12,7/25/12,N520ND,C172,7230,rocker cover leak/loose/damage,c_37,#1 ROCKER COVER LEAKING.,#1 ROCKER COVER LEAKING.,7/13/12,7230,REMOVED & REPLACED GASKET.
1113012,7/13/12,7/13/12,N580ND,SEMI,7230,baffle seal loose/damage,c_9,L/H ENGINE #2 & 4 SIDE BAFFLE SEALS LOOSE.,L/H ENGINE #2 & 4 SIDE BAFFLE SEALS LOOSE.,7/13/12,7230,SECURED SEALS.
1113012,7/13/12,7/13/12,N580ND,SEMI,7230,baffle seal loose/damage,c_9,R/H ENGINE #3 AFT BAFFLE SEAL IS LOOSE.,R/H ENGINE #3 AFT BAFFLE SEAL IS LOOSE.,7/13/12,7230,SECURED BAFFLE SEAL.
1113049,7/13/12,7/13/12,N510ND,C172,7230,rocker cover leak/loose/damage,c_37,#3 ROCKER COVER GASKET TORN.,#3 ROCKER COVER GASKET TORN.,7/13/12,7230,REMOVED & REPLACED #3 ROCKER COVER GASKET.
1113050,7/13/12,7/13/12,N523ND,C172,7230,rocker cover leak/loose/damage,c_37,#4 ROCKER COVER GASKET TORN.,#4 ROCKER COVER GASKET TORN.,7/13/12,7230,REMOVED & REPLACED #4 ROCKER COVER GASKET.
1113058,7/13/12,7/13/12,N551ND,C172,7230,rocker cover leak/loose/damage,c_37,#1 ROCKER COVER GASKET LEAKING.,#1 ROCKER COVER GASKET LEAKING.,7/13/12,7230,REMOVED & REPLACED ROCKER COVER W/ NEW.
1113061,7/13/12,7/14/12,N2081G,H300,7200,pilot/in-flight noticed issue,c_36,DURING GROUND RUN PILOT NOTICED HIGH OIL PRESS (ENGINE).,DURING GROUND RUN PILOT NOTICED HIGH OIL PRESS (ENGINE).,7/14/12,7200,ADJUSTED ENGINE OIL PRESS RELIEF VALVE.
1113061,7/13/12,7/14/12,N2081G,H300,7200,pilot/in-flight noticed issue,c_36,DURING GROUND RUN PILOT NOTICED HIGH OIL PRESS (ENGINE).,DURING GROUND RUN PILOT NOTICED HIGH OIL PRESS (ENGINE).,7/14/12,7200,"A/C WAS GROUND RAN TO FULL PWR, OIL PRESS CHECKED OK."
1113083,7/14/12,7/14/12,N531ND,C172,7200,aircraft start/external issue,c_1,STUDENT COULDN'T START A/C.,STUDENT COULDN'T START A/C.,7/14/12,7200,STARTED A/C FOR STUDENT.
1113087,7/14/12,7/15/12,N509ND,C172,7250,oil cooler need maintenance,c_32,VACUUM TUBE & OIL COOLER LINE ARE RUBBING TOGETHER.,VACUUM TUBE & OIL COOLER LINE ARE RUBBING TOGETHER.,7/15/12,7250,"MOVED ADEL CLAMP & APPLIED 2 ZIP TIES, NO DEFECTS NOTED"
1113093,7/15/12,7/15/12,N576ND,C172,7220,engine idle/rpm issue,c_22,"AFTER LANDING, A/C IDLE @ 970 RPM.","AFTER LANDING, A/C IDLE @ 970 RPM.",7/15/12,7220,ADJUSTED IDLE SETTING BY LOWERING. IDLE SETTING W/IN MA
1113099,7/15/12,7/15/12,N2077E,H300,7200,mixture fail/need adjust,c_31,FUEL PRESS 32 - 33 W/ JUMPS INTO RED.,FUEL PRESS 32 - 33 W/ JUMPS INTO RED.,7/15/12,7200,CLEANED TRANSDUCER GROUND PATH. FUEL PRESS CHECKED GOOD
1113111,7/16/12,7/16/12,N582ND,SEMI,7230,intake gasket leak/damage,c_28,R/H ENG #2 INTAKE LEAKS.,R/H ENG #2 INTAKE LEAKS.,7/16/12,7230,REPLACED GASKET.
1113111,7/16/12,7/16/12,N582ND,SEMI,7230,baffle crack/damage/loose/miss,c_4,L/H ENG #4 CYL BAFFLE CRACKED.,L/H ENG #4 CYL BAFFLE CRACKED.,7/16/12,7230,STOP DRILLED CRACK.
1113111,7/16/12,7/16/12,N582ND,SEMI,7230,baffle crack/damage/loose/miss,c_4,R/H ENG #4 CYL BAFFLE CRACKED.,R/H ENG #4 CYL BAFFLE CRACKED.,7/16/12,7230,STOP DRILLED CRACK.
1113112,7/16/12,7/16/12,N2081G,H300,7200,engine idle/rpm issue,c_22,LAST DAILY SHUT DOWN IDLE OVER RIDE SPEED CHECK - ENGINE RPM,LAST DAILY SHUT DOWN IDLE OVER RIDE SPEED CHECK - ENGINE RPM,7/16/12,7200,"RAN A/C, ADJUSTED IDLE SPEED. CHECKS GOOD."
1113126,7/16/12,7/17/12,N317JR,DECA,7230,baffle bracket loose/damage,c_3,#2 & 4 SIDE BAFFLE BRACE BROKEN.,#2 & 4 SIDE BAFFLE BRACE BROKEN.,7/17/12,7230,FABRICATED BRACE FROM LIKE MATERIAL & INSTALLED.
1113127,7/16/12,7/16/12,N546ND,C172,7230,intake gasket leak/damage,c_28,#4 CYL INTAKE GASKET IS LEAKING.,#4 CYL INTAKE GASKET IS LEAKING.,7/16/12,7230,REMOVED & REPLACED GASKET.
1113166,7/16/12,7/16/12,N517ND,C172,7230,rocker cover leak/loose/damage,c_37,#4 ROCKER BOX COVER GASKET LEAKING.,#4 ROCKER BOX COVER GASKET LEAKING.,7/16/12,7230,REMOVED & REPLACED ROCKER COVER GASKET.
1113172,7/16/12,7/18/12,N574ND,C172,7230,baffle plug need repair/replace,c_6,BAFFLE PLUG HOLE WORN.,BAFFLE PLUG HOLE WORN.,7/18/12,7230,INSTALLED PATCH & NEW PLUG.
1113172,7/16/12,7/18/12,N574ND,C172,7230,engine run rough,c_24,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,7/18/12,7230,"RAN A/C, OPS & LEAK CHECK GOOD."
1113172,7/16/12,7/18/12,N574ND,C172,7230,engine run rough,c_24,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,7/16/12,7230,RAN A/C. CONFIRMED DISCREPANCY. FOUND #3 CYL HAD VERY L
1113172,7/16/12,7/18/12,N574ND,C172,7230,engine run rough,c_24,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,7/17/12,7230,COMPLETED REASSEMBLY OF #3 CYL ASSY. INSTALLED NEW INTA
1113172,7/16/12,7/18/12,N574ND,C172,7230,engine run rough,c_24,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,7/17/12,7230,REMOVED #3 CYL. INSTALLED SERVICEABLE CYL ASSY. TORQUED
1113172,7/16/12,7/18/12,N574ND,C172,7230,engine run rough,c_24,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,7/18/12,7230,"DISASSEMBLED #1, 2, 4 EXHAUST VALVES, REAMED GUIDES IAW"
1113188,7/17/12,7/17/12,N525ND,C172,7230,intake gasket leak/damage,c_28,#2 INTAKE LEAKS.,#2 INTAKE LEAKS.,7/17/12,7230,REPLACED GASKET.
1113189,7/17/12,7/17/12,N564ND,C172,7230,intake gasket leak/damage,c_28,#4 INTAKE LEAKS.,#4 INTAKE LEAKS.,7/17/12,7230,REPLACED GASKET.
1113190,7/17/12,7/17/12,N528ND,C172,7230,intake tube/bolt/seal/boot loose or damage,c_29,#3 INTAKE TUBE GASKET IS LEAKING.,#3 INTAKE TUBE GASKET IS LEAKING.,7/17/12,7230,REPLACED GASKET.
1113190,7/17/12,7/17/12,N528ND,C172,7230,rocker cover leak/loose/damage,c_37,#3 & 4 ROCKER COVER GASKETS ARE LEAKING.,#3 & 4 ROCKER COVER GASKETS ARE LEAKING.,7/17/12,7230,REPLACED GASKETS.
1113209,7/17/12,7/17/12,N514ND,C172,7200,engine need repair/reinstall/clean,c_23,ENGINE WOULD NOT START.,ENGINE WOULD NOT START.,7/17/12,7200,"STARTED ENGINE, LEANED MIXTURE TO CLEAN SPARK PLUGS. MA"
1113215,7/17/12,7/17/12,N537ND,C172,7230,intake gasket leak/damage,c_28,#2 INTAKE IS LEAKING.,#2 INTAKE IS LEAKING.,7/17/12,7230,REMOVED & REPLACED #2 INTAKE GASKET.
1113215,7/17/12,7/17/12,N537ND,C172,7230,baffle rivet loose/miss/damage,c_7,"TOP FRONT R/H BAFFLE, BAFFLE SEAL RIVET PULLED THROUGH.","TOP FRONT R/H BAFFLE, BAFFLE SEAL RIVET PULLED THROUGH.",7/17/12,7230,DRILLED OUT RIVET & INSTALLED SCREW & NUT TO ATTACH R/H
1113218,7/17/12,7/17/12,N575ND,C172,7230,rocker cover leak/loose/damage,c_37,ROCKER BOX COVER SCREWS LOOSE.,ROCKER BOX COVER SCREWS LOOSE.,7/17/12,7230,TIGHTENED SCREWS.
1113218,7/17/12,7/17/12,N575ND,C172,7230,induction damage/hardware fail,c_27,#2 INDUCTION TUBE GASKET LEAKING.,#2 INDUCTION TUBE GASKET LEAKING.,7/17/12,7230,REMOVED & REPLACED #2 INDUCTION TUBE GASKET.
1113237,7/18/12,7/18/12,N570ND,C172,7230,rocker cover leak/loose/damage,c_37,#2 & 4 ROCKER COVERS ARE LEAKING.,#2 & 4 ROCKER COVERS ARE LEAKING.,7/18/12,7230,REMOVED & REPLACED GASKETS.
1113265,7/18/12,7/18/12,N513ND,C172,7230,intake gasket leak/damage,c_28,#1 INTAKE LEAKING.,#1 INTAKE LEAKING.,7/18/12,7230,REMOVED & REPLACED #1 INTAKE GASKET W/ NEW.
1113265,7/18/12,7/18/12,N513ND,C172,7230,rocker cover leak/loose/damage,c_37,#3 & 4 ROCKER COVERS LEAKING.,#3 & 4 ROCKER COVERS LEAKING.,7/18/12,7230,REMOVED & REPLACED #3 & 4 ROCKER COVER GASKETS W/ NEW.
1113285,7/19/12,7/19/12,N514ND,C172,7230,rocker cover leak/loose/damage,c_37,#1 ROCKER COVER IS LEAKING.,#1 ROCKER COVER IS LEAKING.,7/19/12,7230,REMOVED & REPLACED ROCKER COVER GASKET.
1113313,7/19/12,7/19/12,N492ND,SEMI,7230,intake gasket leak/damage,c_28,L/H ENG #4 CYL INTAKE GASKET IS LEAKING.,L/H ENG #4 CYL INTAKE GASKET IS LEAKING.,7/19/12,7230,REMOVED & REPLACED #4 INTAKE GASKET W/ NEW.
1113314,7/19/12,7/19/12,N558ND,C172,7230,rocker cover leak/loose/damage,c_37,ROCKER BOX COVER SCREWS LOOSE.,ROCKER BOX COVER SCREWS LOOSE.,7/19/12,7230,TIGHTENED SCREWS.
1113315,7/19/12,7/19/12,N550ND,C172,7230,rocker cover leak/loose/damage,c_37,#4 ROCKER COVER LEAKING.,#4 ROCKER COVER LEAKING.,7/19/12,7230,REMOVED & REPLACED #4 ROCKER COVER GASKET.
1113317,7/19/12,7/19/12,N538ND,C172,7230,oil return line issue,c_35,#2 OIL RETURN LINE HOSE CLAMP IS LOOSE.,#2 OIL RETURN LINE HOSE CLAMP IS LOOSE.,7/19/12,7230,TIGHTENED HOSE CLAMP.
1113320,7/19/12,7/22/12,N531ND,C172,7200,engine run rough,c_24,ROUGH RUNNING ENGINE ON START. ENGINE RAN SMOOTHER AS IT WAR,ROUGH RUNNING ENGINE ON START. ENGINE RAN SMOOTHER AS IT WAR,7/22/12,7200,FINISHED REAMING ALL 4 EXHAUST VALVE GUIDES. INSTALLED
1113320,7/19/12,7/22/12,N531ND,C172,7200,engine run rough,c_24,ROUGH RUNNING ENGINE ON START. ENGINE RAN SMOOTHER AS IT WAR,ROUGH RUNNING ENGINE ON START. ENGINE RAN SMOOTHER AS IT WAR,7/21/12,7200,"REMOVED COWLING, REMOVED ALL SPARK PLUGS. REAMED #3 EXH"
1113324,7/20/12,7/20/12,N539ND,C172,7230,rocker cover leak/loose/damage,c_37,#3 ROCKER COVER IS LEAKING.,#3 ROCKER COVER IS LEAKING.,7/20/12,7230,REMOVED & REPLACED GASKET.
1113325,7/20/12,7/20/12,N573ND,C172,7200,engine need repair/reinstall/clean,c_23,OIL FOUND ON ENTIRE RIGHT SIDE OF FUSELAGE.,OIL FOUND ON ENTIRE RIGHT SIDE OF FUSELAGE.,7/20/12,7200,"REMOVED COWLING, CLEANED ENGINE, PERFORMED ENGINE RUN U"
1113350,7/20/12,7/20/12,N596ND,SEMI,7230,baffle bolt miss/damage,c_2,R/H ENGINE #4 CYL BAFFLE BOLT MISSING.,R/H ENGINE #4 CYL BAFFLE BOLT MISSING.,7/20/12,7230,INSTALLED NEW BOLT.
1113350,7/20/12,7/20/12,N596ND,SEMI,7230,rocker cover leak/loose/damage,c_37,R/H ENGINE #1 & 4 ROCKER COVERS LEAKING.,R/H ENGINE #1 & 4 ROCKER COVERS LEAKING.,7/20/12,7230,"REMOVED & REPLACED R/H ROCKER COVER GASKETS, 1 & 4."
